ticket_id,subject,body,predicted_category,predicted_subcategory,confidence_score,sentiment,escalate_to_human,escalation_reason,suggested_reply,ground_truth_category,extracted_entities,classification_reasoning,used_llm_classifier,ground_truth_escalate
TCK-1126,Missing coin purchase,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,0.78,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1167,Permanently close my PocketToons account,"Under GDPR / CCPA regulations, I hereby request the permanent deletion of my PocketToons account (User ID: USR-88172) and all associated personal data from your systems.",Account & Security,Account Deletion Request,0.78,Neutral,True,Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('gdpr'),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('gdpr')

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1049,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Unauthorized Charge,0.95,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Billing Support.

We have received your billing query. Our billing team is reviewing your transaction logs. If any discrepancies or unauthorized charges are identified, rest assured they will be immediately adjusted or refunded.

Thank you for your patience,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1055,I did not authorize this purchase,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-751517.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1144,Storage full error despite 20GB free space,Downloaded files disappeared from my library after signing out and signing back in.,Account & Security,Cannot Login / OTP Fail,0.3,Negative,True,Low classifier confidence (0.30 < 0.60) | Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.30 < 0.60) | Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Technical & Playback Bugs,,,,
TCK-1022,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-974244.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1108,Episode 25 locked despite using 10 coins,Coins were deducted twice for unlocking the same episode! Check my transaction history.,Content Access & Coins,Episode Locked After Unlock,0.87,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1186,Remove my personal info from your servers,Please delete my account and purge my email address and payment history from your database.,Account & Security,Suspicious Activity / Hacked Account,0.64,Neutral,True,Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('delete my account'),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('delete my account')

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1026,Cannot cancel monthly subscription,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Double Billing,0.87,Negative,False,,"Hello,

Thank you for contacting PocketToons Support! We apologize for the inconvenience caused by the duplicate charge on your account.

We have submitted a reversal request for your second transaction. Depending on your financial institution or app store (Apple App Store / Google Play), the refunded amount should reflect in your bank statement within 3 to 5 business days.

If you need further assistance with your transaction receipts, please reply directly to this thread.

Warm regards,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1072,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,0.95,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1009,I did not authorize this purchase,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1162,Crash when opening 'My Library' tab,"Ever since updating to v3.10.4, the PocketToons app crashes immediately to the home screen upon launch. I cleared cache and reinstalled but issue persists on Pixel 8 (Android 14).",Technical & Playback Bugs,App Crash,0.78,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue'),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue')

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Technical & Playback Bugs,,,,
TCK-1199,Sleep timer option request,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,Content Catalog Request,0.38,Neutral,True,Low classifier confidence (0.38 < 0.60),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.38 < 0.60)

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Feedback & General,,,,
TCK-1179,Request to delete my account and personal data,I want to close my account permanently. How do I delete my profile data?,Account & Security,Account Deletion Request,0.81,Neutral,True,Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('delete my account'),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('delete my account')

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1102,Purchased 1000 coins but balance is still 0,"I purchased the $14.99 coin pack 30 minutes ago via Apple Pay. Money was deducted from my account (Order #ORD-532067), but my in-app coin wallet still shows 0. Please credit my coins!",Content Access & Coins,Coins Not Credited,0.87,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1174,Urgently help - someone hacked my account!,I can no longer log into my account with my email. It says 'User does not exist'. I think my account was hacked and email was changed without my permission.,Account & Security,Suspicious Activity / Hacked Account,0.78,Severe/Frustrated,True,Account security / compromise alert | Category 'Account & Security' requires human agent review | Category escalation trigger ('hacked') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Account security / compromise alert | Category 'Account & Security' requires human agent review | Category escalation trigger ('hacked') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1036,Refund for unlistened audiobook season,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-854717 so I can buy the correct one.,Content Access & Coins,Coins Not Credited,0.78,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Billing & Refunds,,,,
TCK-1058,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-831059.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1097,Purchased annual VIP pass but still seeing ads and paywalls,"I paid for the Annual VIP Pass last month. Today after updating to v3.12.1, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,Coins Not Credited,0.87,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1123,Purchased 1000 coins but balance is still 0,"Hey support, I bought 500 coins for $9.99. Receipt #ORD-475644 received, but coins haven't shown up after restarting the app. User ID: USR-46048.",Content Access & Coins,Coins Not Credited,0.78,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1010,Double billing issue on order ORD-790993,"Hello team, I was charged twice for the monthly VIP pass ($14.99 x 2). I only pressed subscribe once. Please reverse the duplicate payment immediately.",Billing & Refunds,Double Billing,0.78,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1086,Episode unlock error on 'CEO's Hidden Heiress',Coins were deducted twice for unlocking the same episode! Check my transaction history.,Content Access & Coins,Episode Locked After Unlock,0.78,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1153,Audio speeds up and sounds robot-like,The audio player pitch is distorted and plays at 2x speed automatically even when 1x is selected. Please fix this player bug.,Technical & Playback Bugs,Audio Stutter / Buffering,0.78,Negative,False,,"Hello,

Thank you for reporting this playback issue to PocketToons Engineering.

We recommend attempting the following troubleshooting steps:
1. Ensure your app is updated to the latest version in App Store / Play Store.
2. Go to Settings > Storage & Cache > Clear Cache.
3. Toggle Airplane Mode ON for 5 seconds and back OFF.

Our tech team has logged your device details for further diagnostics.

Best regards,
PocketToons Tech Support",Technical & Playback Bugs,,,,
TCK-1109,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,0.95,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1090,VIP status lost after app update,Paid $49.99 for yearly VIP membership. Order #ORD-197736. Still showing lock icons on exclusive episodes.,Content Access & Coins,Episode Locked After Unlock,0.56,Neutral,True,Low classifier confidence (0.56 < 0.60),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.56 < 0.60)

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Content Access & Coins,,,,
TCK-1076,Coins deducted but episode won't play,"I spent 15 coins to unlock Episode 45 of 'Shadow Monarch', my coins were deducted, but when I click play it asks me to spend another 15 coins! Please fix this lock state.",Content Access & Coins,Coins Not Credited,0.78,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1006,Charged after cancelling VIP membership,"I tried cancelling my $9.99 monthly pass in settings last week, but I was still billed today. Please verify my cancellation and refund this month's charge.",Billing & Refunds,Unauthorized Charge,0.95,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Billing Support.

We have received your billing query. Our billing team is reviewing your transaction logs. If any discrepancies or unauthorized charges are identified, rest assured they will be immediately adjusted or refunded.

Thank you for your patience,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1175,Permanently close my PocketToons account,Please delete my account and purge my email address and payment history from your database.,Account & Security,Suspicious Activity / Hacked Account,0.74,Neutral,True,Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('delete my account'),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('delete my account')

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1052,Fraudulent charge from PocketToons,I noticed a charge of $49.99 from PocketToons on my credit card today. I cancelled my subscription last month! This is an unauthorized charge. Refund me now or I will file a bank chargeback.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Category escalation trigger ('chargeback') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Category escalation trigger ('chargeback') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1047,I did not authorize this purchase,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1138,Audio speeds up and sounds robot-like,The audio player pitch is distorted and plays at 2x speed automatically even when 1x is selected. Please fix this player bug.,Technical & Playback Bugs,Audio Stutter / Buffering,0.78,Negative,False,,"Hello,

Thank you for reporting this playback issue to PocketToons Engineering.

We recommend attempting the following troubleshooting steps:
1. Ensure your app is updated to the latest version in App Store / Play Store.
2. Go to Settings > Storage & Cache > Clear Cache.
3. Toggle Airplane Mode ON for 5 seconds and back OFF.

Our tech team has logged your device details for further diagnostics.

Best regards,
PocketToons Tech Support",Technical & Playback Bugs,,,,
TCK-1018,Charged twice for 500 Coin Pack,"Hello team, I was charged twice for the monthly VIP pass ($14.99 x 2). I only pressed subscribe once. Please reverse the duplicate payment immediately.",Billing & Refunds,Unauthorized Charge,0.87,Neutral,False,,"Hello,

Thank you for reaching out to PocketToons Billing Support.

We have received your billing query. Our billing team is reviewing your transaction logs. If any discrepancies or unauthorized charges are identified, rest assured they will be immediately adjusted or refunded.

Thank you for your patience,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1056,Unrecognized charge of $49.99 on my statement,I noticed a charge of $49.99 from PocketToons on my credit card today. I cancelled my subscription last month! This is an unauthorized charge. Refund me now or I will file a bank chargeback.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Category escalation trigger ('chargeback') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Category escalation trigger ('chargeback') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1014,How to stop recurring billing?,"I tried cancelling my $9.99 monthly pass in settings last week, but I was still billed today. Please verify my cancellation and refund this month's charge.",Billing & Refunds,Unauthorized Charge,0.87,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Billing Support.

We have received your billing query. Our billing team is reviewing your transaction logs. If any discrepancies or unauthorized charges are identified, rest assured they will be immediately adjusted or refunded.

Thank you for your patience,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1002,Unauthorized auto-renewal after cancellation,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1130,Episode unlock error on 'CEO's Hidden Heiress',Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,0.95,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1177,Account compromised / Security breach,"I received an email alert about a login from an IP address in Europe. I live in US. Someone logged into my account, changed my nickname, and spent 800 of my saved coins! Please lock my account and restore my coins immediately!",Account & Security,Cannot Login / OTP Fail,0.83,Neutral,True,Account security / compromise alert | Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Account security / compromise alert | Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1061,Refund for unlistened audiobook season,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-912270 so I can buy the correct one.,Content Access & Coins,Coins Not Credited,0.78,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Billing & Refunds,,,,
TCK-1084,VIP membership inactive on my account,"My VIP membership is active on iOS but when I log into iPad, it says I don't have VIP. Please sync my account privileges.",Account & Security,Suspicious Activity / Hacked Account,0.46,Neutral,True,Low classifier confidence (0.46 < 0.60) | Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.46 < 0.60) | Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Content Access & Coins,,,,
TCK-1154,Downloaded episodes won't play offline,Downloads get stuck at 99% and fail with code ERR_STORAGE_WRITE. Device has over 30GB free storage available.,Content Access & Coins,Episode Locked After Unlock,0.29,Negative,True,Low classifier confidence (0.29 < 0.60),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.29 < 0.60)

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Technical & Playback Bugs,,,,
TCK-1101,Payment went through but no coins received (Order #ORD-440131),"Hey support, I bought 500 coins for $9.99. Receipt #ORD-440131 received, but coins haven't shown up after restarting the app. User ID: USR-87397.",Content Access & Coins,Coins Not Credited,0.78,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1143,Crash when opening 'My Library' tab,The app freezes completely and screen turns black whenever I open my downloaded shows tab. Needs urgent bug fix.,Technical & Playback Bugs,App Crash,0.95,Negative,False,,"Hello,

Thank you for reporting this playback issue to PocketToons Engineering.

We recommend attempting the following troubleshooting steps:
1. Ensure your app is updated to the latest version in App Store / Play Store.
2. Go to Settings > Storage & Cache > Clear Cache.
3. Toggle Airplane Mode ON for 5 seconds and back OFF.

Our tech team has logged your device details for further diagnostics.

Best regards,
PocketToons Tech Support",Technical & Playback Bugs,,,,
TCK-1091,Episode unlock error on 'CEO's Hidden Heiress',Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,0.95,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1125,VIP membership inactive on my account,"My VIP membership is active on iOS but when I log into iPad, it says I don't have VIP. Please sync my account privileges.",Account & Security,Suspicious Activity / Hacked Account,0.46,Neutral,True,Low classifier confidence (0.46 < 0.60) | Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.46 < 0.60) | Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Content Access & Coins,,,,
TCK-1046,Charged twice for 500 Coin Pack,"Hi, I bought the $9.99 coin bundle yesterday on my iPhone. My bank statement shows two pending charges of $9.99 on the same minute! Transaction ID: ORD-345884. Please refund the extra $9.99.",Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
